Period,Market Type,Min Trade,Max Trade,Avg Trade
2013,market_cap,3286045813,810821000,15786400000
2013,volume_usd,904644,0,96656700
2014,market_cap,7555643835,4511160000,13036100000
2014,volume_usd,36845448,8388960,175472000
2015,market_cap,4538089315,3153310000,7616740000
2015,volume_usd,40786021,11599500,314232000
2016,market_cap,10775581557,6210560000,17708400000
2016,volume_usd,122275293,35522400,580663000
2017,market_cap,125743210684,14717500000,630369000000
2017,volume_usd,5578603757,90438300,58805800000
2018,market_cap,306095038700,100960472059,813871000000
2018,volume_usd,18211838634,8780051948,70004300000
2019,market_cap,123798434870,111557180232,139885134769
2019,volume_usd,19363794694,12604809317,38730300832
